filename,Title,Artist,Year,Link,Copyright,Institution,Fag
ANSK04372.jpg,Hestens forskellige racer,"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1808,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299271/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK13135.jpg,Månen,Köhls astronomiske billeder,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1655756/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Astronomi
ANSK04903.jpg,Jesus som 12-årig i templet,Bilder zur Biblischen Geschichte,1911,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1659625/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK15169.jpg,"Peterskirken, med søjlegang, fontæner og obelisk.",Ukendt,1705,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1976576/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK16261.jpg,Køkkenredskaber,Bilder zum Anschauungsunterricht für die Jugend,1867,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1669305/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK06015.jpg,Chimpanse,Danske billeder,1892,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1657181/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
ANSK12261.jpg,Gasfremstilling,Eschners teknologiske tavler,1910,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652242/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Fysik
ANSK05247.jpg,Forklarelsen på bjerget,40 Bibelske Billeder,1870,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1656684/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Religion
ANSK04432.jpg,Den store komet fra 1811 (billedbeskrivelse på fransk),"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1811,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299347/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK04421.jpg,Beboere fra begge kyster af Det Røde Hav,"Bilderbuch für Kinder : enthaltend eine angenehme Sammlung von Thieren, Pflanzen, Blumen, Früchten, Mineralien, Trachten und allerhand andern unterrichtenden Gegenständen aus dem Reiche der Natur, der Künste und Wissenschaften",1811,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object2299336/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Børnebøger
ANSK07211.jpg,Nordamerikansk bjerglandskab,Biologisch-geographische Charakterbilder aus alle Zonen,1920,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652392/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Geografi
ANSK09965.jpg,Kæruld og frytle,Svenska växter,1939,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1655522/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Botanik
ANSK05713.jpg,Landbrugsredskaber,Lummel,1841,https://digitalesamlinger.kb.dk/images/billed/2010/okt/billeder/object1652015/da/,Materialet er fri af ophavsret,Det Kongelige Bibliotek,Anskuelsesundervisning
